pid,model,price,country_code,country,region,income group,scraped_date
15,Magic Mouse,R$ 899,br,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138
0,iPhone 13,From $949,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
1,iPhone SE,From $569,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
2,iPhone 12,From $799,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
3,AirPods(3rd generation),$239,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
4,AirPods Pro,$329,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
5,AirPods(2nd generation),$179,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
6,AirPods Max,$779,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
7,Apple TV 4K,$229,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
8,Apple Watch SE,From $369,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
9,Apple Watch Series 3,From $249,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
10,Sport Band,$59,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
11,iPad,From $429,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
12,iPad Pro,From $999,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
13,Apple Pencil (2nd generation),$169,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
14,24-inch iMac²,From $1599,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
15,MacBook Air,From $1299,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
16,Magic Mouse,$89,ca,Canada,North America,High income,2022-01-02 21:52:10.367290
0,iPhone 13,Od 19 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
1,iPhone SE,Od 11 690 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
2,iPhone 12,Od 16 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
3,AirPods(3. generace),4 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
4,AirPods Pro,7 290 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
